tx_id,timestamp,account_id,merchant_id,amount,country,channel
g60,2026-04-30T12:01:57,A17,PHARMACY_08,27.09,DE,online
g61,2026-04-30T12:02:00,A8,NETFLIX,17.31,FR,card
g62,2026-04-30T12:02:01,A3,NETFLIX,9.49,ES,card
g63,2026-04-30T12:02:03,A8,LUXURY_WATCH_4,150.66,DE,online
g64,2026-04-30T12:02:05,A10,FUEL_12,22.9,PL,atm
g65,2026-04-30T12:02:07,A13,PHARMACY_08,8.89,FR,card
g66,2026-04-30T12:02:09,A14,FUEL_12,24.48,FR,transfer
g67,2026-04-30T12:02:11,A1,FUEL_12,25.33,DE,card
g68,2026-04-30T12:02:14,A4,PHARMACY_08,31.96,FR,card
g69,2026-04-30T12:02:16,A16,GROCERY_17,11.47,DE,card
g70,2026-04-30T12:02:17,A2,CRYPTO_BROKER_2,211.65,ES,online
g71,2026-04-30T12:02:20,A11,LUXURY_WATCH_4,527.2,PL,card
g72,2026-04-30T12:02:21,A4,FUEL_12,33.76,FR,card
g73,2026-04-30T12:02:24,A15,GROCERY_17,11.2,DE,card
g74,2026-04-30T12:02:25,A6,SALARY_PAYROLL,3080.49,DE,transfer
g75,2026-04-30T12:02:28,A14,LUXURY_WATCH_4,182.36,PL,online
g76,2026-04-30T12:02:30,A1,GROCERY_17,23.6,FR,atm
g77,2026-04-30T12:02:31,A8,NETFLIX,17.27,FR,online
g78,2026-04-30T12:02:34,A15,COFFEE_03,11.42,PL,card
g79,2026-04-30T12:02:35,A13,GROCERY_17,12.24,ES,card
g80,2026-04-30T12:02:37,A6,FUEL_12,16.94,DE,online
g81,2026-04-30T12:02:40,A19,TRANSPORT_01,18.94,DE,card
g82,2026-04-30T12:02:42,A1,JEWELRY_9,81.11,DE,card
g83,2026-04-30T12:02:44,A10,TRANSPORT_01,42.56,DE,card
g84,2026-04-30T12:02:45,A19,TRANSPORT_01,14.4,DE,card
g85,2026-04-30T12:02:47,A13,TRANSPORT_01,23.59,ES,card
g86,2026-04-30T12:02:49,A14,GROCERY_17,14.69,ES,card
g87,2026-04-30T12:02:51,A19,GROCERY_17,17.41,ES,atm
g88,2026-04-30T12:02:53,A3,PHARMACY_08,15.12,DE,card
g89,2026-04-30T12:02:55,A5,NETFLIX,17.84,DE,atm
g90,2026-04-30T12:02:57,A15,PHARMACY_08,25.34,DE,online
g91,2026-04-30T12:03:00,A19,TRANSPORT_01,25.26,ES,card
g92,2026-04-30T12:03:02,A8,PHARMACY_08,25.21,DE,card
g93,2026-04-30T12:03:03,A17,CRYPTO_BROKER_2,470.59,ES,card
g94,2026-04-30T12:03:05,A12,GROCERY_17,20.47,DE,online
g95,2026-04-30T12:03:07,A8,COFFEE_03,15.47,ES,card
g96,2026-04-30T12:03:10,A10,GROCERY_17,19.38,ES,card
g97,2026-04-30T12:03:11,A7,COFFEE_03,11.35,DE,card
g98,2026-04-30T12:03:13,A10,COFFEE_03,23.32,PL,card
g99,2026-04-30T12:03:15,A9,LUXURY_WATCH_4,550.87,ES,card
g100,2026-04-30T12:03:18,A8,GROCERY_17,17.93,PL,online
g101,2026-04-30T12:03:19,A7,TRANSPORT_01,11.97,ES,card
g102,2026-04-30T12:03:22,A11,COFFEE_03,15.45,ES,card
g103,2026-04-30T12:03:24,A5,FUEL_12,21.19,FR,online
g104,2026-04-30T12:03:26,A3,FUEL_12,7.32,ES,card
g105,2026-04-30T12:03:28,A3,JEWELRY_9,380.46,ES,card
g106,2026-04-30T12:03:30,A17,SALARY_PAYROLL,3091.37,PL,transfer
g107,2026-04-30T12:03:32,A4,NETFLIX,9.13,PL,online
g108,2026-04-30T12:03:33,A3,FUEL_12,43.14,FR,card
g109,2026-04-30T12:03:35,A4,NETFLIX,26.65,FR,online
g110,2026-04-30T12:03:37,A9,JEWELRY_9,143.67,DE,online
g111,2026-04-30T12:03:39,A19,TRANSPORT_01,14.3,ES,online
g112,2026-04-30T12:03:41,A15,PHARMACY_08,20.99,PL,online
g113,2026-04-30T12:03:44,A4,PHARMACY_08,17.25,PL,card
g114,2026-04-30T12:03:46,A13,COFFEE_03,17.96,DE,card
g115,2026-04-30T12:03:47,A5,GROCERY_17,17.16,PL,online
g116,2026-04-30T12:03:50,A7,FUEL_12,22.63,ES,card
g117,2026-04-30T12:03:51,A18,PHARMACY_08,13.9,PL,online
g118,2026-04-30T12:03:53,A3,FUEL_12,12.23,FR,card
g119,2026-04-30T12:03:55,A12,FUEL_12,11.72,ES,transfer
g120,2026-04-30T12:03:57,A2,GROCERY_17,15.65,ES,online
g121,2026-04-30T12:03:59,A19,GROCERY_17,20.79,ES,online
g122,2026-04-30T12:04:01,A17,PHARMACY_08,20.54,ES,card
g123,2026-04-30T12:04:03,A2,PHARMACY_08,12.52,FR,card
g124,2026-04-30T12:04:05,A16,PHARMACY_08,16.77,DE,atm
g125,2026-04-30T12:04:08,A5,COFFEE_03,24.98,DE,online
g126,2026-04-30T12:04:10,A20,GROCERY_17,20.59,DE,online
g127,2026-04-30T12:04:11,A1,FUEL_12,9.06,ES,card
g128,2026-04-30T12:04:14,A19,FUEL_12,18.17,ES,card
g129,2026-04-30T12:04:15,A14,SALARY_PAYROLL,2516.13,ES,transfer
g130,2026-04-30T12:04:18,A3,PHARMACY_08,15.89,DE,online
g131,2026-04-30T12:04:19,A16,JEWELRY_9,365.49,ES,card
g132,2026-04-30T12:04:21,A2,GROCERY_17,20.43,DE,card
g133,2026-04-30T12:04:24,A4,COFFEE_03,13.0,DE,online
g134,2026-04-30T12:04:25,A20,GROCERY_17,9.87,DE,card
g135,2026-04-30T12:04:27,A4,JEWELRY_9,246.91,FR,online
g136,2026-04-30T12:04:30,A19,PHARMACY_08,17.07,ES,online
g137,2026-04-30T12:04:31,A19,COFFEE_03,19.69,PL,card
g138,2026-04-30T12:04:33,A16,TRANSPORT_01,12.91,ES,atm
g139,2026-04-30T12:04:35,A14,COFFEE_03,20.56,ES,online
g140,2026-04-30T12:04:38,A5,FUEL_12,19.75,PL,card
g141,2026-04-30T12:04:40,A5,FUEL_12,25.93,PL,online
g142,2026-04-30T12:04:42,A8,FUEL_12,29.19,PL,card
g143,2026-04-30T12:04:44,A15,TRANSPORT_01,17.21,FR,card
g144,2026-04-30T12:04:46,A19,LUXURY_WATCH_4,298.09,FR,card
g145,2026-04-30T12:04:48,A10,CRYPTO_BROKER_2,490.92,ES,card
g146,2026-04-30T12:04:50,A8,COFFEE_03,9.91,DE,card
g147,2026-04-30T12:04:52,A7,SALARY_PAYROLL,2209.95,FR,transfer
g148,2026-04-30T12:04:53,A5,GROCERY_17,22.19,ES,card
g149,2026-04-30T12:04:55,A18,GROCERY_17,29.66,ES,card
g150,2026-04-30T12:04:57,A8,PHARMACY_08,24.04,ES,online
g151,2026-04-30T12:05:00,A11,JEWELRY_9,195.72,PL,card
g152,2026-04-30T12:05:01,A8,COFFEE_03,10.19,ES,card
g153,2026-04-30T12:05:03,A5,FUEL_12,16.98,PL,online
g154,2026-04-30T12:05:06,A14,FUEL_12,23.19,PL,card
g155,2026-04-30T12:05:08,A17,PHARMACY_08,18.52,FR,card
g156,2026-04-30T12:05:10,A20,CRYPTO_BROKER_2,138.39,PL,card
g157,2026-04-30T12:05:12,A17,GROCERY_17,18.8,DE,online
g158,2026-04-30T12:05:14,A12,FUEL_12,14.69,DE,card
g159,2026-04-30T12:05:15,A3,COFFEE_03,18.77,PL,card
g160,2026-04-30T12:05:17,A16,PHARMACY_08,17.45,PL,card
g161,2026-04-30T12:05:20,A4,LUXURY_WATCH_4,278.01,PL,card
g162,2026-04-30T12:05:21,A2,COFFEE_03,20.75,ES,card
g163,2026-04-30T12:05:23,A6,TRANSPORT_01,10.0,ES,card
g164,2026-04-30T12:05:26,A8,LUXURY_WATCH_4,704.94,ES,card
g165,2026-04-30T12:05:27,A15,PHARMACY_08,26.13,ES,online
g166,2026-04-30T12:05:29,A3,TRANSPORT_01,10.72,FR,atm
g167,2026-04-30T12:05:31,A15,GROCERY_17,21.52,ES,card
g168,2026-04-30T12:05:34,A12,TRANSPORT_01,19.16,ES,card
g169,2026-04-30T12:05:36,A17,GROCERY_17,17.75,PL,online
g170,2026-04-30T12:05:37,A16,TRANSPORT_01,9.85,DE,card
g171,2026-04-30T12:05:40,A19,SALARY_PAYROLL,2484.01,DE,transfer
g172,2026-04-30T12:05:42,A3,NETFLIX,26.81,ES,online
g173,2026-04-30T12:05:43,A11,JEWELRY_9,144.0,ES,online
g174,2026-04-30T12:05:46,A7,SALARY_PAYROLL,2183.7,DE,transfer
g175,2026-04-30T12:05:47,A2,NETFLIX,16.22,FR,card
g176,2026-04-30T12:05:50,A5,FUEL_12,25.72,DE,online
g177,2026-04-30T12:05:52,A6,FUEL_12,29.5,ES,card
g178,2026-04-30T12:05:53,A5,LUXURY_WATCH_4,248.57,DE,online
g179,2026-04-30T12:05:56,A18,NETFLIX,17.29,ES,card
g180,2026-04-30T12:05:58,A9,PHARMACY_08,32.59,FR,card
g181,2026-04-30T12:06:00,A2,COFFEE_03,23.38,ES,online
g182,2026-04-30T12:06:01,A2,COFFEE_03,23.59,FR,online
g183,2026-04-30T12:06:03,A7,LUXURY_WATCH_4,276.29,PL,card
g184,2026-04-30T12:06:06,A13,PHARMACY_08,19.53,ES,transfer
g185,2026-04-30T12:06:07,A4,FUEL_12,15.67,PL,atm
g186,2026-04-30T12:06:10,A6,COFFEE_03,16.98,FR,card
g187,2026-04-30T12:06:12,A11,LUXURY_WATCH_4,281.8,ES,card
g188,2026-04-30T12:06:14,A1,FUEL_12,18.17,DE,online
g189,2026-04-30T12:06:15,A11,PHARMACY_08,17.21,PL,online
g190,2026-04-30T12:06:17,A8,GROCERY_17,15.71,DE,card
g191,2026-04-30T12:06:20,A15,TRANSPORT_01,24.29,PL,online
g192,2026-04-30T12:06:22,A13,FUEL_12,22.67,ES,card
g193,2026-04-30T12:06:24,A18,FUEL_12,17.08,DE,online
g194,2026-04-30T12:06:26,A16,GROCERY_17,15.26,PL,online
g195,2026-04-30T12:06:28,A7,PHARMACY_08,21.19,DE,card
g196,2026-04-30T12:06:29,A11,CRYPTO_BROKER_2,135.35,ES,online
g197,2026-04-30T12:06:31,A7,JEWELRY_9,286.66,FR,online
g198,2026-04-30T12:06:33,A10,TRANSPORT_01,20.67,PL,card
g199,2026-04-30T12:06:35,A4,TRANSPORT_01,30.42,DE,atm
g200,2026-04-30T12:06:38,A14,PHARMACY_08,20.57,PL,online
g201,2026-04-30T12:06:39,A6,TRANSPORT_01,14.68,FR,card
g202,2026-04-30T12:06:42,A14,TRANSPORT_01,18.25,DE,atm
g203,2026-04-30T12:06:44,A1,GROCERY_17,14.89,DE,online
g204,2026-04-30T12:06:45,A7,GROCERY_17,26.29,PL,online
g205,2026-04-30T12:06:47,A13,TRANSPORT_01,18.49,PL,online
g206,2026-04-30T12:06:50,A4,FUEL_12,10.32,FR,card
g207,2026-04-30T12:06:52,A15,TRANSPORT_01,25.08,PL,transfer
g208,2026-04-30T12:06:54,A11,COFFEE_03,30.74,ES,online
g209,2026-04-30T12:06:55,A4,COFFEE_03,18.81,FR,card
g210,2026-04-30T12:06:58,A19,TRANSPORT_01,15.82,DE,card
g211,2026-04-30T12:06:59,A9,TRANSPORT_01,29.71,ES,card
g212,2026-04-30T12:07:01,A5,PHARMACY_08,21.23,PL,card
g213,2026-04-30T12:07:04,A8,PHARMACY_08,20.97,ES,card
g214,2026-04-30T12:07:06,A4,JEWELRY_9,188.44,FR,card
g215,2026-04-30T12:07:07,A10,PHARMACY_08,25.6,ES,online
g216,2026-04-30T12:07:09,A15,COFFEE_03,45.07,DE,online
g217,2026-04-30T12:07:11,A9,FUEL_12,9.98,ES,online
g218,2026-04-30T12:07:14,A20,FUEL_12,20.68,DE,card
g219,2026-04-30T12:07:15,A20,GROCERY_17,19.65,DE,card
g220,2026-04-30T12:07:17,A14,FUEL_12,29.81,ES,card
g221,2026-04-30T12:07:19,A12,COFFEE_03,20.88,ES,card
g222,2026-04-30T12:07:22,A10,JEWELRY_9,272.18,ES,transfer
g223,2026-04-30T12:07:24,A12,FUEL_12,13.33,PL,online
g224,2026-04-30T12:07:25,A16,FUEL_12,17.89,FR,card
g225,2026-04-30T12:07:28,A5,PHARMACY_08,10.97,PL,card
g226,2026-04-30T12:07:30,A10,GROCERY_17,12.23,ES,online
g227,2026-04-30T12:07:32,A4,FUEL_12,18.42,FR,online
g228,2026-04-30T12:07:33,A10,FUEL_12,13.47,ES,online
g229,2026-04-30T12:07:36,A19,FUEL_12,27.0,DE,online
g230,2026-04-30T12:07:38,A20,TRANSPORT_01,12.3,PL,atm
g231,2026-04-30T12:07:39,A8,TRANSPORT_01,30.55,PL,card
g232,2026-04-30T12:07:42,A5,TRANSPORT_01,16.35,ES,online
g233,2026-04-30T12:07:44,A8,FUEL_12,19.95,DE,atm
g234,2026-04-30T12:07:45,A10,FUEL_12,17.71,DE,card
g235,2026-04-30T12:07:48,A2,FUEL_12,31.45,ES,card
g236,2026-04-30T12:07:49,A6,PHARMACY_08,20.88,PL,card
g237,2026-04-30T12:07:52,A8,TRANSPORT_01,13.71,ES,card
g238,2026-04-30T12:07:54,A8,LUXURY_WATCH_4,257.93,ES,card
g239,2026-04-30T12:07:56,A1,GROCERY_17,34.02,ES,card
g240,2026-04-30T12:07:58,A1,PHARMACY_08,15.97,ES,card
g241,2026-04-30T12:08:00,A12,TRANSPORT_01,15.3,DE,online
g242,2026-04-30T12:08:01,A18,GROCERY_17,8.04,PL,card
g243,2026-04-30T12:08:03,A6,JEWELRY_9,214.33,FR,card
g244,2026-04-30T12:08:05,A5,GROCERY_17,34.65,DE,online
g245,2026-04-30T12:08:07,A16,PHARMACY_08,25.13,ES,online
g246,2026-04-30T12:08:10,A8,TRANSPORT_01,26.25,PL,card
g247,2026-04-30T12:08:11,A9,PHARMACY_08,22.0,FR,card
g248,2026-04-30T12:08:14,A20,COFFEE_03,30.17,PL,atm
g249,2026-04-30T12:08:15,A14,COFFEE_03,28.03,PL,online
g250,2026-04-30T12:08:18,A12,SALARY_PAYROLL,2502.62,DE,transfer
g251,2026-04-30T12:08:20,A20,PHARMACY_08,17.39,FR,card
g252,2026-04-30T12:08:21,A16,TRANSPORT_01,11.33,ES,online
g253,2026-04-30T12:08:24,A6,CRYPTO_BROKER_2,203.64,DE,card
g254,2026-04-30T12:08:25,A5,TRANSPORT_01,33.47,ES,transfer
g255,2026-04-30T12:08:28,A5,FUEL_12,27.16,FR,atm
g256,2026-04-30T12:08:30,A11,COFFEE_03,29.63,ES,card
g257,2026-04-30T12:08:32,A6,CRYPTO_BROKER_2,308.03,ES,online
g258,2026-04-30T12:08:33,A8,FUEL_12,24.84,ES,card
g259,2026-04-30T12:08:35,A2,JEWELRY_9,192.53,FR,card
g260,2026-04-30T12:08:38,A3,PHARMACY_08,25.71,DE,card
g261,2026-04-30T12:08:39,A13,TRANSPORT_01,29.19,PL,card
g262,2026-04-30T12:08:41,A14,TRANSPORT_01,31.54,PL,card
g263,2026-04-30T12:08:44,A1,COFFEE_03,17.33,ES,card
g264,2026-04-30T12:08:46,A11,GROCERY_17,15.97,FR,card
g265,2026-04-30T12:08:48,A3,GROCERY_17,25.67,DE,card
g266,2026-04-30T12:08:49,A11,COFFEE_03,17.44,ES,card
g267,2026-04-30T12:08:51,A1,GROCERY_17,14.31,DE,card
g268,2026-04-30T12:08:54,A6,GROCERY_17,18.25,ES,card
g269,2026-04-30T12:08:55,A14,FUEL_12,16.31,ES,card
g270,2026-04-30T12:08:57,A11,LUXURY_WATCH_4,210.79,ES,online
g271,2026-04-30T12:09:00,A18,COFFEE_03,18.92,ES,card
g272,2026-04-30T12:09:02,A11,COFFEE_03,19.68,ES,card
g273,2026-04-30T12:09:04,A3,PHARMACY_08,18.6,DE,card
g274,2026-04-30T12:09:05,A10,SALARY_PAYROLL,1791.94,DE,transfer
g275,2026-04-30T12:09:08,A7,GROCERY_17,19.21,ES,card
g276,2026-04-30T12:09:10,A6,COFFEE_03,16.54,PL,online
g277,2026-04-30T12:09:11,A12,LUXURY_WATCH_4,284.18,ES,atm
g278,2026-04-30T12:09:14,A8,TRANSPORT_01,23.94,FR,card
g279,2026-04-30T12:09:15,A15,COFFEE_03,33.19,PL,card
g280,2026-04-30T12:09:18,A9,COFFEE_03,17.34,PL,card
g281,2026-04-30T12:09:20,A16,TRANSPORT_01,34.37,DE,card
g282,2026-04-30T12:09:21,A5,GROCERY_17,20.43,PL,card
g283,2026-04-30T12:09:24,A5,COFFEE_03,8.56,PL,online
g284,2026-04-30T12:09:26,A13,PHARMACY_08,15.38,FR,online
g285,2026-04-30T12:09:27,A14,GROCERY_17,11.57,PL,atm
g286,2026-04-30T12:09:30,A1,GROCERY_17,14.49,PL,online
g287,2026-04-30T12:09:31,A3,GROCERY_17,17.04,FR,card
g288,2026-04-30T12:09:33,A8,GROCERY_17,32.7,ES,card
g289,2026-04-30T12:09:36,A3,TRANSPORT_01,14.32,DE,transfer
g290,2026-04-30T12:09:38,A13,COFFEE_03,28.91,ES,online
g291,2026-04-30T12:09:40,A1,GROCERY_17,37.68,ES,online
g292,2026-04-30T12:09:42,A6,COFFEE_03,17.14,ES,online
g293,2026-04-30T12:09:44,A13,PHARMACY_08,17.02,ES,atm
g294,2026-04-30T12:09:45,A18,TRANSPORT_01,30.4,FR,card
g295,2026-04-30T12:09:48,A1,FUEL_12,18.88,DE,card
g296,2026-04-30T12:09:50,A18,COFFEE_03,13.74,DE,card
g297,2026-04-30T12:09:52,A5,TRANSPORT_01,15.38,PL,card
g298,2026-04-30T12:09:54,A19,TRANSPORT_01,10.09,DE,online
g299,2026-04-30T12:09:56,A10,COFFEE_03,22.84,DE,atm
g300,2026-04-30T12:09:57,A18,FUEL_12,12.03,ES,card
